Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Ruixiag CHANG,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Weimin ZHENG,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Jinliang HOU,"['Shanghai Astronomical Observatory CAS', 'Research Center for Galaxies and Cosmology', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Yongjun CHEN,"['Shanghai Astronomical Observatory, CAS', '80 Nandan Road', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Meidong CHEN,"['China, Nanjing ']"
Jinxin HAO,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing  100012', 'Beijing', 'China, Nanjing']"
Yulei QIU,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing  100012', 'Beijing', 'China, Nanjing']"
Yihua YAN,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
YuanYong DENG,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing  100012', 'Beijing', 'China, Nanjing']"
Biwei JIANG,"['Beijing Normal University', 'Astronomy Dept', 'Xin Jie Kou Wai Str 19', 'Haidian District', 'Beijing 100875', 'Beijing', 'China, Nanjing']"
Bo QIN,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing  100012', 'Beijing', 'China, Nanjing']"
LiCai DENG,"['National Astronomical Observatories', 'Stars & Stellar Systems', '20A Datun Rd', 'Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Huaning WANG,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing  100012', 'Beijing', 'China, Nanjing']"
Long Long FENG,"['University of Science/Technology', 'Centre for Astrophysics', 'Hefei 230026', 'Anhui', 'China, Nanjing']"
Junhui FAN,"['Guangzhou University', 'Center for Astrophysics', 'No. 230 Waihuanxilu Road', 'Guangzhou Higher Education Mega Center', 'Guangzhou 510006', 'Guangdong', 'China, Nanjing']"
Rongchuan QIAO,"['Chinese Academy of Sciences', 'National Time Service Center', 'Box 18', 'Lintong 710600', 'Shaanxi', 'China, Nanjing']"
DaMing CHEN,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Tong-Jie ZHANG,"['Beijing Normal University', 'Astronomy Dept', 'Xin Jie Kou Wai Str 19', 'Haidian District', 'Beijing 100875', 'Beijing', 'China, Nanjing']"
Wenzhang MA,"['Beijing Normal University', 'Astronomy Dept', 'Xin Jie Kou Wai Str 19', 'Haidian District', 'Beijing 100875', 'Beijing', 'China, Nanjing']"
Xiang LIU,"['Chinese Academy of Sciences', 'Xinjiang  Astronomical Observatory', '150 Science 1-Street, Xinshi District,', 'Urumqi 830011', 'Xinjiang', 'China, Nanjing']"
Yongqiang YAO,"['Chinese Academy of Sciences', 'National Astronomical Observatories of China', '20A Datun Road, Chaoyang District, Beijing, China', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Bruno Jungwiert,"['Astronomical Institute of the Academy of Sciences of the Czech Republic', 'Galaxies and Planetary Systems', 'Boční II 1401', '141 31 Prague 4', 'Czech Republic']"
Eva Marková,"['Observatory', 'Box 8', '542 32 Upice', 'Czech Republic']"
Zdeněk Moravec,"['University of Jan Evangelista Purkyně', 'Dept Physics', 'Ceske mladeze 8', '400 96 Usti nad Labem', 'Czech Republic']"
Petr Pravec,"['Academy of Sciences of Czech Republic', 'Astronomical Inst', 'Fricova 298', '251 65 Ondrejov', 'Czech Republic']"
Vojtech Simon,"['Academy of Sciences of Czech Republic', 'Astronomical Inst', 'Fricova 298', '251 65 Ondrejov', 'Czech Republic']"
Petr Skoda,"['Academy of Sciences of Czech Republic', 'Astronomical Inst', 'Fricova 298', '251 65 Ondrejov', 'Czech Republic']"
Soeren K. Brandt,"['DTU Space - National Space Institute', 'Astrophysics', 'Elektrovej 327', '2800 Kongens Lyngby', 'Denmark']"
Søren Bertil F. Dorch,"['University of Southern Denmark', 'Department of Research and Analysis, University Library', 'Campusvej 55', '5320 Odense', 'Denmark']"
Frank Grundahl,"['University of Aarhus', 'Inst Physics-Astronomy', 'Ny Munkegade', 'Bld. 1520', '8000 Aarhus C', 'Denmark']"
Steen Hannestad,"['University of Aarhus', 'Dept of Physics & Astronomy', 'Ny Munkegade', 'Building 1520', '8000 Aarhus C', 'Denmark']"
Søren S. Larsen,"['Radboud University Nijmegen', 'Department of Astrophysics', 'P.O. Box 9010', '6500 GL Nijmegen', 'Netherlands']"
Thomas M. Tauris,"['University of Bonn', 'Argelander Institute for Astronomy', 'Auf Dem Huegel 71', '53121 Bonn', 'Germany']"
Andrei V. Berdyugin,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Svetlana V. Berdyugina,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Pasi J. Hakala,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Diana C. Hannikainen,"['Helsinki University of Technology', 'Metsähovi Radio Observatory', 'Metsähovintie 114', '02540 Kylmälä', 'Finland']"
Mika J. Juvela,"['University of Helsinki', 'Department of Physics', 'Gustaf Hallstromin katu 2a', 'PO Box 64', '00014 Helsinki', 'Finland']"
Mikko K. J. Kaasalainen,"['Tampere University of Technology', 'Dept of Mathematics', 'Dept of Mathematics, TUT', 'PO Box 553', '33101 Tampere', 'Finland']"
